Scenario_Sensors,Algorithm,Trial_ID,Fitness_Cost,Execution_Time_s,Energy_Total_J,Avg_Delay_s,Min_Link_Margin_dB
6,GA,1,1.9096068335719965,0.3872189521789551,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,2,1.9096068335719965,0.4163529872894287,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,3,1.9096068335719965,0.38367223739624023,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,4,1.9096068335719965,0.49925994873046875,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,5,1.9096068335719965,0.37657809257507324,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,6,1.9096068335719965,0.28493380546569824,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,7,1.9096068335719965,0.4301280975341797,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,8,1.9096068335719965,0.23240089416503906,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,9,1.9096068335719965,0.4393937587738037,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,10,1.9096068335719965,0.22395896911621094,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,11,1.9096068335719965,0.29524898529052734,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,12,1.9096068335719965,0.2863459587097168,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,13,1.9096068335719965,0.46620631217956543,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,14,1.9096068335719965,0.4363901615142822,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,15,1.9096068335719965,0.4597299098968506,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,16,1.9096068335719965,0.31688690185546875,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,17,1000.0,0.06303286552429199,,,0.0
6,GA,18,1.9096068335719965,0.4160768985748291,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,19,1.9096068335719965,0.3974170684814453,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,20,1.9096068335719965,0.46423816680908203,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,21,1.9096068335719965,0.4242880344390869,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,22,1.9096068335719965,0.4366779327392578,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,23,1.9096068335719965,0.4346787929534912,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,24,1.9096068335719965,0.47348594665527344,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,25,1.9096068335719965,0.4090700149536133,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,26,800.0,0.0839390754699707,,,0.0
6,GA,27,1.9096068335719965,0.0738821029663086,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,28,1.9096068335719965,0.4835782051086426,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,29,1.9096068335719965,0.06677103042602539,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,30,1.9096068335719965,0.45584678649902344,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,1,1.9096068335719965,0.07898592948913574,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,2,1.9096068335719965,0.10547995567321777,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,3,1.9096068335719965,0.11061286926269531,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,4,1.9096068335719965,0.11002326011657715,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,5,1.9096068335719965,0.09020113945007324,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,6,1.9096068335719965,0.07616996765136719,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,7,1.9096068335719965,0.08354783058166504,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,8,1.9096068335719965,0.13794994354248047,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,9,1.9096068335719965,0.10462117195129395,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,10,1.9096068335719965,0.10095691680908203,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,11,1.9096068335719965,0.10785508155822754,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,12,1.9096068335719965,0.09400606155395508,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,13,1.9096068335719965,0.09730195999145508,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,14,1.9096068335719965,0.13085007667541504,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,15,1.9096068335719965,0.11118006706237793,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,16,1.9096068335719965,0.09532022476196289,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,17,1.9096068335719965,0.06264495849609375,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,18,1.9096068335719965,0.09272909164428711,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,19,1.9096068335719965,0.07061600685119629,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,20,1.9096068335719965,0.06311392784118652,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,21,1.9096068335719965,0.09400606155395508,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,22,1.9096068335719965,0.07046389579772949,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,23,1.9096068335719965,0.08420586585998535,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,24,1.9096068335719965,0.09609818458557129,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,25,1.9096068335719965,0.10012102127075195,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,26,1.9096068335719965,0.07047295570373535,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,27,1.9096068335719965,0.09387493133544922,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,28,1.9096068335719965,0.1272578239440918,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,29,1.9096068335719965,0.09848403930664062,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,30,1.9096068335719965,0.10132980346679688,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,1,1.9096068335719965,0.0856180191040039,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,2,1.9096068335719965,0.10238385200500488,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,3,1.9096068335719965,0.08310699462890625,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,4,1.9096068335719965,0.08926200866699219,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,5,1.9096068335719965,0.06803703308105469,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,6,1.9096068335719965,0.0641021728515625,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,7,1.9096068335719965,0.07117199897766113,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,8,1.9096068335719965,0.08621716499328613,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,9,1.9096068335719965,0.08659100532531738,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,10,1.9096068335719965,0.08218097686767578,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,11,1.9096068335719965,0.15665197372436523,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,12,1.9096068335719965,0.05357813835144043,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,13,1.9096068335719965,0.08502602577209473,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,14,1.9096068335719965,0.06862092018127441,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,15,1.9096068335719965,0.050038814544677734,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,16,1.9096068335719965,0.1027829647064209,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,17,1.9096068335719965,0.07596421241760254,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,18,1.9096068335719965,0.08250212669372559,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,19,1.9096068335719965,0.14620518684387207,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,20,1.9096068335719965,0.06260108947753906,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,21,1.9096068335719965,0.07886219024658203,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,22,1.9096068335719965,0.1041710376739502,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,23,1.9096068335719965,0.10660004615783691,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,24,1.9096068335719965,0.06659317016601562,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,25,1.9096068335719965,0.0655829906463623,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,26,1.9096068335719965,0.15024709701538086,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,27,1.9096068335719965,0.06165719032287598,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,28,1.9096068335719965,0.08424186706542969,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,29,1.9096068335719965,0.0791311264038086,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GWO,30,1.9096068335719965,0.06956624984741211,0.013694622351093767,0.0014999999999999998,35.68696213981387
8,GA,1,2.304460011804208,0.5403459072113037,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,2,2.304460011804208,0.5424301624298096,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,3,2.304460011804208,0.08470487594604492,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,4,2.304460011804208,0.5718681812286377,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,5,2.304460011804208,0.061833858489990234,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,6,2.304460011804208,0.5436131954193115,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,7,2.304460011804208,0.5315940380096436,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,8,2.304460011804208,0.573732852935791,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,9,800.0,0.07162594795227051,,,0.0
8,GA,10,2.304460011804208,0.5247597694396973,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,11,2.304460011804208,0.5042569637298584,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,12,2.304460011804208,0.5750129222869873,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,13,2.304460011804208,0.17435789108276367,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,14,2.304460011804208,0.5719170570373535,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,15,2.304460011804208,0.5237572193145752,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,16,2.304460011804208,0.648104190826416,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,17,2.304460011804208,0.5632860660552979,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,18,2.304460011804208,0.24489188194274902,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,19,2.304460011804208,0.5798730850219727,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,20,2.304460011804208,0.5138392448425293,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,21,2.304460011804208,0.587662935256958,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,22,2.304460011804208,0.07251906394958496,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,23,2.304460011804208,0.41739511489868164,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,24,2.304460011804208,0.49083423614501953,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,25,2.304460011804208,0.5233218669891357,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,26,2.304460011804208,0.5730700492858887,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,27,800.0,0.06918501853942871,,,0.0
8,GA,28,2.304460011804208,0.36772918701171875,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GA,29,800.0,0.07288098335266113,,,0.0
8,GA,30,2.304460011804208,0.5645802021026611,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,1,2.304460011804208,0.09258794784545898,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,2,2.304460011804208,0.14154815673828125,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,3,2.304460011804208,0.12085986137390137,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,4,2.304460011804208,0.1206052303314209,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,5,2.304460011804208,0.08788084983825684,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,6,2.304460011804208,0.17459893226623535,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,7,2.304460011804208,0.10691571235656738,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,8,2.304460011804208,0.11084389686584473,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,9,2.304460011804208,0.1521599292755127,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,10,2.304460011804208,0.11046767234802246,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,11,2.304460011804208,0.08241415023803711,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,12,2.304460011804208,0.23026418685913086,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,13,2.304460011804208,0.13414502143859863,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,14,2.304460011804208,0.17994213104248047,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,15,2.304460011804208,0.0859689712524414,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,16,2.304460011804208,0.13272333145141602,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,17,2.304460011804208,0.18165087699890137,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,18,2.304460011804208,0.104644775390625,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,19,2.304460011804208,0.07438492774963379,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,20,2.304460011804208,0.09333205223083496,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,21,2.304460011804208,0.2404017448425293,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,22,2.304460011804208,0.10982704162597656,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,23,2.304460011804208,0.1891329288482666,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,24,2.304460011804208,0.10405993461608887,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,25,2.304460011804208,0.11172032356262207,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,26,2.304460011804208,0.1587522029876709,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,27,2.304460011804208,0.13291501998901367,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,28,2.304460011804208,0.12376880645751953,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,29,2.304460011804208,0.08132410049438477,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,PSO,30,2.304460011804208,0.08749270439147949,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,1,2.304460011804208,0.08162188529968262,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,2,2.304460011804208,0.1025092601776123,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,3,2.304460011804208,0.06682705879211426,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,4,2.304460011804208,0.13510918617248535,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,5,2.304460011804208,0.21278595924377441,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,6,2.304460011804208,0.10620403289794922,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,7,2.304460011804208,0.21405792236328125,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,8,2.304460011804208,0.08463382720947266,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,9,2.304460011804208,0.06513381004333496,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,10,2.304460011804208,0.08560013771057129,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,11,2.304460011804208,0.09651803970336914,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,12,2.304460011804208,0.0773630142211914,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,13,2.304460011804208,0.18426799774169922,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,14,2.304460011804208,0.06792092323303223,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,15,2.304460011804208,0.0822298526763916,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,16,2.304460011804208,0.23373913764953613,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,17,2.304460011804208,0.0619356632232666,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,18,2.304460011804208,0.10994195938110352,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,19,2.304460011804208,0.10885405540466309,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,20,2.304460011804208,0.20505332946777344,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,21,2.304460011804208,0.0813758373260498,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,22,2.304460011804208,0.0721588134765625,0.01691863583440161,0.0014999999999999998,34.444072080996285
8,GWO,23,2.304460011804208,0.07423210144042969,0.01691863583440161,0.0014999999999999998,34.444072080996285
